,open,close,high,low,volume,money
2013-10-18,3.64,3.63,3.66,3.59,8142010.0,29559688.0
2013-10-21,3.64,3.63,3.64,3.55,17137386.0,61755552.0
2013-10-22,3.64,3.6,3.65,3.57,13020090.0,46852092.0
2013-10-23,3.6,3.48,3.6,3.47,14320809.0,50457420.0
2013-10-24,3.48,3.48,3.51,3.44,8089683.0,28113300.0
2013-10-25,3.49,3.42,3.5,3.4,9527983.0,32730300.0
2013-10-28,3.42,3.45,3.48,3.38,11136269.0,38055984.0
2013-10-29,3.43,3.36,3.48,3.3,12439730.0,42012252.0
2013-10-30,3.38,3.41,3.42,3.34,8197407.0,27774856.0
2013-10-31,3.41,3.43,3.46,3.39,7910420.0,27108844.0
2013-11-01,3.39,3.59,3.6,3.38,16739740.0,58502208.0
2013-11-04,3.59,3.55,3.59,3.51,12811002.0,45568064.0
2013-11-05,3.51,3.51,3.54,3.42,9025695.0,31458184.0
2013-11-06,3.51,3.54,3.63,3.47,16032069.0,57081420.0
2013-11-07,3.56,3.63,3.72,3.54,25781148.0,94062752.0
2013-11-08,3.64,3.5,3.66,3.45,14441781.0,51244044.0
2013-11-11,3.47,3.51,3.54,3.43,6371030.0,22242694.0
2013-11-12,3.52,3.57,3.6,3.52,7855347.0,27962936.0
2013-11-13,3.57,3.54,3.64,3.51,11278786.0,40350368.0
2013-11-14,3.49,3.5,3.54,3.39,11302596.0,39212044.0
2013-11-15,3.51,3.57,3.6,3.46,12843960.0,45710272.0
2013-11-18,3.58,3.67,3.67,3.58,18287044.0,66615068.0
2013-11-19,3.68,3.65,3.71,3.63,11517537.0,42195428.0
2013-11-20,3.65,3.7,3.72,3.61,16003092.0,58720552.0
2013-11-21,3.68,3.65,3.71,3.63,10694795.0,39152576.0
2013-11-22,3.65,3.67,3.69,3.63,8945439.0,32704976.0
2013-11-25,3.67,3.7,3.75,3.64,17058308.0,63418540.0
2013-11-26,3.68,3.65,3.71,3.64,9024820.0,33162436.0
2013-11-27,3.65,3.73,3.74,3.63,14198771.0,52578336.0
2013-11-28,3.75,3.8,3.84,3.72,24416416.0,92675488.0
2013-11-29,3.81,3.82,3.87,3.77,16377128.0,62630964.0
2013-12-02,3.74,3.66,3.78,3.62,21871056.0,80975248.0
2013-12-03,3.64,3.74,3.74,3.63,9775669.0,36305768.0
2013-12-04,3.72,3.87,3.94,3.72,25931276.0,100390400.0
2013-12-05,3.86,3.87,3.89,3.81,17207524.0,66338800.0
2013-12-06,3.86,3.83,3.93,3.81,12344506.0,47585872.0
2013-12-09,3.86,3.8,3.87,3.8,9059302.0,34669832.0
2013-12-10,3.8,3.82,3.88,3.8,10201844.0,39120560.0
2013-12-11,3.82,3.74,3.82,3.72,13200376.0,49607516.0
2013-12-12,3.73,3.76,3.79,3.69,10860146.0,40620240.0
2013-12-13,3.76,3.76,3.77,3.72,5904295.0,22137702.0
2013-12-16,3.77,3.68,3.77,3.64,10804811.0,39874008.0
2013-12-17,3.67,3.66,3.7,3.63,5229342.0,19139046.0
2013-12-18,3.66,3.67,3.69,3.64,3671921.0,13472148.0
2013-12-19,3.67,3.51,3.7,3.48,15538678.0,55446256.0
2013-12-20,3.53,3.43,3.53,3.4,11942525.0,41095904.0
2013-12-23,3.42,3.44,3.45,3.37,4503740.0,15415194.0
2013-12-24,3.43,3.44,3.49,3.42,4639994.0,16082450.0
2013-12-25,3.44,3.47,3.49,3.42,4086350.0,14164675.0
2013-12-26,3.48,3.4,3.48,3.4,5333160.0,18285984.0
2013-12-27,3.42,3.45,3.46,3.4,5537149.0,19014596.0
2013-12-30,3.48,3.46,3.49,3.43,3820660.0,13218573.0
2013-12-31,3.47,3.54,3.54,3.46,6835822.0,23976972.0
2014-01-02,3.55,3.59,3.6,3.5,7398928.0,26237784.0
2014-01-03,3.57,3.55,3.58,3.5,5020579.0,17694932.0
2014-01-06,3.55,3.42,3.55,3.41,4809613.0,16584060.0
2014-01-07,3.41,3.44,3.45,3.38,3501241.0,11998892.0
2014-01-08,3.47,3.4,3.47,3.38,4784669.0,16313690.0
2014-01-09,3.41,3.32,3.44,3.31,7321604.0,24616556.0
2014-01-10,3.3,3.33,3.4,3.26,7258743.0,23957208.0
2014-01-13,3.33,3.33,3.39,3.22,6817480.0,22560834.0
2014-01-14,3.32,3.36,3.37,3.3,3544267.0,11847033.0
2014-01-15,3.36,3.36,3.36,3.31,2705344.0,9029614.0
2014-01-16,3.35,3.35,3.39,3.33,3519609.0,11840045.0
2014-01-17,3.37,3.31,3.38,3.3,3479346.0,11581399.0
2014-01-20,3.31,3.23,3.31,3.2,7342590.0,23746748.0
2014-01-21,3.22,3.25,3.27,3.22,2710978.0,8799649.0
2014-01-22,3.25,3.35,3.36,3.23,6662063.0,22019204.0
2014-01-23,3.34,3.31,3.34,3.3,6380459.0,21177412.0
2014-01-24,3.31,3.33,3.34,3.27,5662399.0,18800382.0
2014-01-27,3.31,3.33,3.35,3.28,5592603.0,18547596.0
2014-01-28,3.33,3.32,3.37,3.31,3204234.0,10676730.0
2014-01-29,3.35,3.33,3.35,3.31,2595435.0,8636581.0
