,term,term_d,rate,,
2015/2/25,2y,2,3.0524,,
2015/2/25,3y,3,3.0764,,
2015/2/25,4y,4,3.1337,,
2015/2/25,5y,5,3.1821,,
2015/2/25,6y,6,3.1945,,
2015/2/25,7y,7,3.1982,,
2015/2/25,8y,8,3.2336,,
2015/2/25,9y,9,3.2942,,
2015/2/25,10y,10,3.349,,
2015/2/25,15y,15,3.5665,,
2015/2/25,20y,20,3.7354,,
2015/2/25,30y,30,3.8993,,
2015/2/25,40y,40,3.9708,,
2015/2/25,50y,50,4.0377,,
2015/2/26,0d,0,2.7057,,
2015/2/26,1m,0.08,3.216,,
2015/2/26,2m,0.17,3.1176,,
2015/2/26,3m,0.25,3.0491,,
2015/2/26,6m,0.5,2.9858,,
2015/2/26,9m,0.75,3.0719,,
2015/2/26,1y,1,3.0353,,
2015/2/26,2y,2,3.0525,,
2015/2/26,3y,3,3.0762,,
2015/2/26,4y,4,3.1317,,
2015/2/26,5y,5,3.1934,,
2015/2/26,6y,6,3.2163,,
2015/2/26,7y,7,3.2258,,
2015/2/26,8y,8,3.2606,,
2015/2/26,9y,9,3.3108,,
2015/2/26,10y,10,3.3594,,
2015/2/26,15y,15,3.5769,,
2015/2/26,20y,20,3.7458,,
2015/2/26,30y,30,3.9052,,
2015/2/26,40y,40,3.9766,,
2015/2/26,50y,50,4.0435,,
2015/2/27,0d,0,2.7257,,
2015/2/27,1m,0.08,3.2571,,
2015/2/27,2m,0.17,3.1376,,
2015/2/27,3m,0.25,3.0691,,
2015/2/27,6m,0.5,3.0531,,
2015/2/27,9m,0.75,3.0562,,
2015/2/27,1y,1,3.0438,,
2015/2/27,2y,2,3.0786,,
2015/2/27,3y,3,3.1142,,
2015/2/27,4y,4,3.1632,,
2015/2/27,5y,5,3.2128,,
2015/2/27,6y,6,3.2329,,
2015/2/27,7y,7,3.2412,,
2015/2/27,8y,8,3.275,,
2015/2/27,9y,9,3.3255,,
2015/2/27,10y,10,3.3745,,
2015/2/27,15y,15,3.592,,
2015/2/27,20y,20,3.7609,,
2015/2/27,30y,30,3.9203,,
2015/2/27,40y,40,3.9917,,
2015/2/27,50y,50,4.0586,,
2015/2/28,0d,0,2.7257,,
2015/2/28,1m,0.08,3.2572,,
2015/2/28,2m,0.17,3.1676,,
2015/2/28,3m,0.25,3.0991,,
2015/2/28,6m,0.5,3.0731,,
2015/2/28,9m,0.75,3.0684,,
2015/2/28,1y,1,3.0396,,
2015/2/28,2y,2,3.0866,,
2015/2/28,3y,3,3.1311,,
2015/2/28,4y,4,3.1835,,
2015/2/28,5y,5,3.2164,,
2015/2/28,6y,6,3.2236,,
2015/2/28,7y,7,3.2257,,
2015/2/28,8y,8,3.255,,
2015/2/28,9y,9,3.3089,,
2015/2/28,10y,10,3.3602,,
2015/2/28,15y,15,3.5777,,
2015/2/28,20y,20,3.7466,,
2015/2/28,30y,30,3.906,,
2015/2/28,40y,40,3.9774,,
2015/2/28,50y,50,4.0518,,
2015/3/2,0d,0,2.7377,,
2015/3/2,1m,0.08,3.2429,,
2015/3/2,2m,0.17,3.16,,
2015/3/2,3m,0.25,3.0811,,
2015/3/2,6m,0.5,3.0231,,
2015/3/2,9m,0.75,3.07,,
2015/3/2,1y,1,3.0488,,
2015/3/2,2y,2,3.0959,,
2015/3/2,3y,3,3.1428,,
2015/3/2,4y,4,3.1881,,
2015/3/2,5y,5,3.233,,
2015/3/2,6y,6,3.2585,,
2015/3/2,7y,7,3.2745,,
2015/3/2,8y,8,3.307,,
2015/3/2,9y,9,3.3481,,
2015/3/2,10y,10,3.3883,,
2015/3/2,15y,15,3.6058,,
2015/3/2,20y,20,3.7747,,
2015/3/2,30y,30,3.9341,,
2015/3/2,40y,40,4.0055,,
2015/3/2,50y,50,4.0799,,
2015/3/3,0d,0,2.7347,,
2015/3/3,1m,0.08,3.2729,,
2015/3/3,2m,0.17,3.1604,,
2015/3/3,3m,0.25,3.0511,,
2015/3/3,6m,0.5,3.0233,,
2015/3/3,9m,0.75,3.0754,,
2015/3/3,1y,1,3.0341,,
2015/3/3,2y,2,3.0843,,
2015/3/3,3y,3,3.1364,,
2015/3/3,4y,4,3.1943,,
2015/3/3,5y,5,3.2541,,
2015/3/3,6y,6,3.2845,,
2015/3/3,7y,7,3.3022,,
2015/3/3,8y,8,3.3333,,
2015/3/3,9y,9,3.368,,
2015/3/3,10y,10,3.4022,,
2015/3/3,15y,15,3.6197,,
2015/3/3,20y,20,3.7886,,
2015/3/3,30y,30,3.948,,
2015/3/3,40y,40,4.0194,,
2015/3/3,50y,50,4.052,,
2015/3/4,0d,0,2.7307,,
2015/3/4,1m,0.08,3.2719,,
2015/3/4,2m,0.17,3.2337,,
2015/3/4,3m,0.25,3.0811,,
2015/3/4,6m,0.5,3.0229,,
2015/3/4,9m,0.75,3.0657,,
2015/3/4,1y,1,3.0291,,
2015/3/4,2y,2,3.0928,,
2015/3/4,3y,3,3.1524,,
2015/3/4,4y,4,3.1983,,
2015/3/4,5y,5,3.2406,,
2015/3/4,6y,6,3.2705,,
2015/3/4,7y,7,3.2926,,
2015/3/4,8y,8,3.3227,,
2015/3/4,9y,9,3.3549,,
2015/3/4,10y,10,3.3869,,
2015/3/4,15y,15,3.6044,,
2015/3/4,20y,20,3.7733,,
2015/3/4,30y,30,3.9327,,
2015/3/4,40y,40,4.0041,,
2015/3/4,50y,50,4.082,,
2015/3/5,0d,0,2.7177,,
2015/3/5,1m,0.08,3.2699,,
2015/3/5,2m,0.17,3.2809,,
2015/3/5,3m,0.25,3.0811,,
2015/3/5,6m,0.5,3.0624,,
2015/3/5,9m,0.75,3.0959,,
2015/3/5,1y,1,3.0518,,
2015/3/5,2y,2,3.1269,,
2015/3/5,3y,3,3.1961,,
2015/3/5,4y,4,3.2449,,
2015/3/5,5y,5,3.2882,,
2015/3/5,6y,6,3.3199,,
2015/3/5,7y,7,3.3427,,
2015/3/5,8y,8,3.3731,,
2015/3/5,9y,9,3.405,,
2015/3/5,10y,10,3.4369,,
2015/3/5,15y,15,3.6544,,
2015/3/5,20y,20,3.8233,,
2015/3/5,30y,30,3.9827,,
2015/3/5,40y,40,4.0541,,
2015/3/5,50y,50,4.132,,
2015/3/6,0d,0,2.7007,,
2015/3/6,1m,0.08,3.3138,,
2015/3/6,2m,0.17,3.3154,,
2015/3/6,3m,0.25,3.1061,,
2015/3/6,6m,0.5,3.0911,,
2015/3/6,9m,0.75,3.1234,,
2015/3/6,1y,1,3.0576,,
2015/3/6,2y,2,3.1643,,
2015/3/6,3y,3,3.2515,,
2015/3/6,4y,4,3.283,,
2015/3/6,5y,5,3.3015,,
2015/3/6,6y,6,3.3246,,
2015/3/6,7y,7,3.3425,,
2015/3/6,8y,8,3.3787,,
2015/3/6,9y,9,3.4277,,
2015/3/6,10y,10,3.4753,,
2015/3/6,15y,15,3.6928,,
2015/3/6,20y,20,3.8617,,
2015/3/6,30y,30,4.0211,,
2015/3/6,40y,40,4.0925,,
2015/3/6,50y,50,4.1704,,
2015/3/9,0d,0,2.6657,,
2015/3/9,1m,0.08,3.4314,,
2015/3/9,2m,0.17,3.4338,,
2015/3/9,3m,0.25,3.191,,
2015/3/9,6m,0.5,3.1325,,
2015/3/9,9m,0.75,3.1585,,
2015/3/9,1y,1,3.0787,,
2015/3/9,2y,2,3.1728,,
2015/3/9,3y,3,3.2563,,
2015/3/9,4y,4,3.3019,,
2015/3/9,5y,5,3.3327,,
2015/3/9,6y,6,3.3675,,
2015/3/9,7y,7,3.3962,,
2015/3/9,8y,8,3.4284,,
2015/3/9,9y,9,3.4602,,
2015/3/9,10y,10,3.4922,,
2015/3/9,15y,15,3.7097,,
2015/3/9,20y,20,3.8786,,
2015/3/9,30y,30,4.038,,
2015/3/9,40y,40,4.1094,,
2015/3/9,50y,50,4.1873,,
2015/3/10,0d,0,2.6347,,
2015/3/10,1m,0.08,3.5314,,
2015/3/10,2m,0.17,3.4801,,
2015/3/10,3m,0.25,3.1942,,
2015/3/10,6m,0.5,3.1288,,
2015/3/10,9m,0.75,3.161,,
2015/3/10,1y,1,3.0812,,
2015/3/10,2y,2,3.1837,,
2015/3/10,3y,3,3.2711,,
2015/3/10,4y,4,3.3051,,
2015/3/10,5y,5,3.3269,,
2015/3/10,6y,6,3.3485,,
2015/3/10,7y,7,3.3624,,
2015/3/10,8y,8,3.4041,,
2015/3/10,9y,9,3.4649,,
2015/3/10,10y,10,3.5228,,
2015/3/10,15y,15,3.7403,,
2015/3/10,20y,20,3.9092,,
2015/3/10,30y,30,4.0686,,
2015/3/10,40y,40,4.14,,
2015/3/10,50y,50,4.2179,,
2015/3/11,0d,0,2.6317,,
2015/3/11,1m,0.08,3.5071,,
2015/3/11,2m,0.17,3.4526,,
2015/3/11,3m,0.25,3.1763,,
2015/3/11,6m,0.5,3.123,,
2015/3/11,9m,0.75,3.166,,
2015/3/11,1y,1,3.0615,,
2015/3/11,2y,2,3.1377,,
2015/3/11,3y,3,3.2085,,
2015/3/11,4y,4,3.2623,,
2015/3/11,5y,5,3.2969,,
2015/3/11,6y,6,3.3116,,
2015/3/11,7y,7,3.3161,,
2015/3/11,8y,8,3.3461,,
2015/3/11,9y,9,3.3838,,
2015/3/11,10y,10,3.4466,,
2015/3/11,15y,15,3.6641,,
2015/3/11,20y,20,3.833,,
2015/3/11,30y,30,3.9924,,
2015/3/11,40y,40,4.0638,,
2015/3/11,50y,50,4.1417,,
2015/3/12,0d,0,2.7491,,
2015/3/12,1m,0.08,3.5571,,
2015/3/12,2m,0.17,3.4143,,
2015/3/12,3m,0.25,3.1469,,
2015/3/12,6m,0.5,3.1182,,
2015/3/12,9m,0.75,3.1067,,
2015/3/12,1y,1,3.0495,,
2015/3/12,2y,2,3.1288,,
2015/3/12,3y,3,3.2016,,
2015/3/12,4y,4,3.2535,,
2015/3/12,5y,5,3.2825,,
2015/3/12,6y,6,3.2926,,
2015/3/12,7y,7,3.2961,,
2015/3/12,8y,8,3.329,,
2015/3/12,9y,9,3.381,,
2015/3/12,10y,10,3.4412,,
2015/3/12,15y,15,3.6587,,
2015/3/12,20y,20,3.8276,,
2015/3/12,30y,30,3.987,,
2015/3/12,40y,40,4.0584,,
2015/3/12,50y,50,4.1363,,
2015/3/13,0d,0,2.7207,,
2015/3/13,1m,0.08,3.5054,,
2015/3/13,2m,0.17,3.3625,,
2015/3/13,3m,0.25,3.1676,,
2015/3/13,6m,0.5,3.1261,,
2015/3/13,9m,0.75,3.1384,,
2015/3/13,1y,1,3.0944,,
2015/3/13,2y,2,3.1602,,
2015/3/13,3y,3,3.226,,
2015/3/13,4y,4,3.2912,,
2015/3/13,5y,5,3.3305,,
2015/3/13,6y,6,3.3384,,
2015/3/13,7y,7,3.3411,,
2015/3/13,8y,8,3.3742,,
2015/3/13,9y,9,3.4328,,
2015/3/13,10y,10,3.4879,,
2015/3/13,15y,15,3.7054,,
2015/3/13,20y,20,3.8743,,
2015/3/13,30y,30,4.0337,,
2015/3/13,40y,40,4.1051,,
2015/3/13,50y,50,4.183,,
2015/3/16,0d,0,2.6877,,
2015/3/16,1m,0.08,3.5709,,
2015/3/16,2m,0.17,3.419,,
2015/3/16,3m,0.25,3.1496,,
2015/3/16,6m,0.5,3.1198,,
2015/3/16,9m,0.75,3.1095,,
2015/3/16,1y,1,3.0944,,
2015/3/16,2y,2,3.165,,
2015/3/16,3y,3,3.2356,,
2015/3/16,4y,4,3.292,,
2015/3/16,5y,5,3.3397,,
2015/3/16,6y,6,3.3665,,
2015/3/16,7y,7,3.383,,
2015/3/16,8y,8,3.4236,,
2015/3/16,9y,9,3.4775,,
2015/3/16,10y,10,3.5301,,
2015/3/16,15y,15,3.7476,,
2015/3/16,20y,20,3.9165,,
2015/3/16,30y,30,4.0759,,
2015/3/16,40y,40,4.1473,,
2015/3/16,50y,50,4.2252,,
2015/3/17,0d,0,2.6607,,
2015/3/17,1m,0.08,3.5709,,
2015/3/17,2m,0.17,3.377,,
2015/3/17,3m,0.25,3.1496,,
2015/3/17,6m,0.5,3.1224,,
2015/3/17,9m,0.75,3.1243,,
2015/3/17,1y,1,3.1142,,
2015/3/17,2y,2,3.1675,,
2015/3/17,3y,3,3.2207,,
2015/3/17,4y,4,3.2713,,
2015/3/17,5y,5,3.3201,,
2015/3/17,6y,6,3.3575,,
2015/3/17,7y,7,3.3902,,
2015/3/17,8y,8,3.4364,,
2015/3/17,9y,9,3.4901,,
2015/3/17,10y,10,3.5428,,
2015/3/17,15y,15,3.7603,,
2015/3/17,20y,20,3.9292,,
2015/3/17,30y,30,4.0886,,
2015/3/17,40y,40,4.16,,
2015/3/17,50y,50,4.2379,,
2015/3/18,0d,0,2.6537,,
2015/3/18,1m,0.08,3.6236,,
2015/3/18,2m,0.17,3.3636,,
2015/3/18,3m,0.25,3.1303,,
2015/3/18,6m,0.5,3.1282,,
2015/3/18,9m,0.75,3.1184,,
2015/3/18,1y,1,3.1042,,
2015/3/18,2y,2,3.1687,,
2015/3/18,3y,3,3.2332,,
2015/3/18,4y,4,3.2894,,
2015/3/18,5y,5,3.3404,,
2015/3/18,6y,6,3.3784,,
2015/3/18,7y,7,3.4101,,
2015/3/18,8y,8,3.454,,
2015/3/18,9y,9,3.5035,,
2015/3/18,10y,10,3.5519,,
2015/3/18,15y,15,3.7694,,
2015/3/18,20y,20,3.9383,,
2015/3/18,30y,30,4.0977,,
2015/3/18,40y,40,4.1691,,
2015/3/18,50y,50,4.2305,,
2015/3/19,0d,0,2.6167,,
2015/3/19,1m,0.08,3.5746,,
2015/3/19,2m,0.17,3.3166,,
2015/3/19,3m,0.25,3.1192,,
2015/3/19,6m,0.5,3.1429,,
2015/3/19,9m,0.75,3.1198,,
2015/3/19,1y,1,3.0992,,
2015/3/19,2y,2,3.1629,,
2015/3/19,3y,3,3.2267,,
2015/3/19,4y,4,3.2834,,
2015/3/19,5y,5,3.3357,,
2015/3/19,6y,6,3.3736,,
2015/3/19,7y,7,3.4051,,
2015/3/19,8y,8,3.4462,,
2015/3/19,9y,9,3.4908,,
2015/3/19,10y,10,3.5348,,
2015/3/19,15y,15,3.7523,,
2015/3/19,20y,20,3.9683,,
2015/3/19,30y,30,4.1277,,
2015/3/19,40y,40,4.1796,,
2015/3/19,50y,50,4.241,,
2015/3/20,0d,0,2.5787,,
2015/3/20,1m,0.08,3.5077,,
2015/3/20,2m,0.17,3.2495,,
2015/3/20,3m,0.25,3.1192,,
2015/3/20,6m,0.5,3.1327,,
2015/3/20,9m,0.75,3.1217,,
2015/3/20,1y,1,3.102,,
2015/3/20,2y,2,3.1589,,
2015/3/20,3y,3,3.2157,,
2015/3/20,4y,4,3.259,,
2015/3/20,5y,5,3.2943,,
2015/3/20,6y,6,3.3332,,
2015/3/20,7y,7,3.371,,
2015/3/20,8y,8,3.4116,,
2015/3/20,9y,9,3.4537,,
2015/3/20,10y,10,3.4958,,
2015/3/20,15y,15,3.7133,,
2015/3/20,20y,20,3.9466,,
2015/3/20,30y,30,4.1059,,
2015/3/20,40y,40,4.1721,,
2015/3/20,50y,50,4.2482,,
2015/3/23,0d,0,2.5017,,
2015/3/23,1m,0.08,3.5375,,
2015/3/23,2m,0.17,3.2152,,
2015/3/23,3m,0.25,3.1424,,
2015/3/23,6m,0.5,3.133,,
2015/3/23,9m,0.75,3.1196,,
2015/3/23,1y,1,3.1032,,
2015/3/23,2y,2,3.1745,,
2015/3/23,3y,3,3.2458,,
2015/3/23,4y,4,3.2839,,
2015/3/23,5y,5,3.3029,,
2015/3/23,6y,6,3.3482,,
2015/3/23,7y,7,3.3976,,
2015/3/23,8y,8,3.4334,,
2015/3/23,9y,9,3.4626,,
2015/3/23,10y,10,3.4933,,
2015/3/23,15y,15,3.7108,,
2015/3/23,20y,20,3.9441,,
2015/3/23,30y,30,4.1034,,
2015/3/23,40y,40,4.1696,,
2015/3/23,50y,50,4.2392,,
2015/3/24,0d,0,2.5027,,
2015/3/24,1m,0.08,3.5735,,
2015/3/24,2m,0.17,3.1944,,
2015/3/24,3m,0.25,3.1374,,
2015/3/24,6m,0.5,3.1063,,
2015/3/24,9m,0.75,3.1147,,
2015/3/24,1y,1,3.1031,,
2015/3/24,2y,2,3.1734,,
2015/3/24,3y,3,3.2487,,
2015/3/24,4y,4,3.2846,,
2015/3/24,5y,5,3.3086,,
2015/3/24,6y,6,3.3565,,
2015/3/24,7y,7,3.4079,,
2015/3/24,8y,8,3.4402,,
2015/3/24,9y,9,3.4609,,
2015/3/24,10y,10,3.4841,,
2015/3/24,15y,15,3.7214,,
2015/3/24,20y,20,3.9547,,
2015/3/24,30y,30,4.114,,
2015/3/24,40y,40,4.2002,,
2015/3/24,50y,50,4.2698,,
2015/3/25,0d,0,2.4947,,
2015/3/25,1m,0.08,3.5077,,
2015/3/25,2m,0.17,3.2144,,
2015/3/25,3m,0.25,3.1574,,
2015/3/25,6m,0.5,3.1285,,
2015/3/25,9m,0.75,3.1299,,
2015/3/25,1y,1,3.1183,,
2015/3/25,2y,2,3.1775,,
2015/3/25,3y,3,3.2367,,
2015/3/25,4y,4,3.2844,,
2015/3/25,5y,5,3.3254,,
2015/3/25,6y,6,3.3669,,
2015/3/25,7y,7,3.4066,,
2015/3/25,8y,8,3.4417,,
2015/3/25,9y,9,3.4721,,
2015/3/25,10y,10,3.5037,,
2015/3/25,15y,15,3.741,,
2015/3/25,20y,20,3.9743,,
2015/3/25,30y,30,4.1336,,
2015/3/25,40y,40,4.2198,,
2015/3/25,50y,50,4.2689,,
2015/3/26,0d,0,2.5007,,
2015/3/26,1m,0.08,3.58,,
2015/3/26,2m,0.17,3.2466,,
2015/3/26,3m,0.25,3.2063,,
2015/3/26,6m,0.5,3.1942,,
2015/3/26,9m,0.75,3.1358,,
2015/3/26,1y,1,3.1483,,
2015/3/26,2y,2,3.1929,,
2015/3/26,3y,3,3.2376,,
2015/3/26,4y,4,3.3029,,
2015/3/26,5y,5,3.3799,,
2015/3/26,6y,6,3.4402,,
2015/3/26,7y,7,3.4934,,
2015/3/26,8y,8,3.5223,,
2015/3/26,9y,9,3.5316,,
2015/3/26,10y,10,3.544,,
2015/3/26,15y,15,3.7813,,
2015/3/26,20y,20,4.0146,,
2015/3/26,30y,30,4.1739,,
2015/3/26,40y,40,4.2601,,
2015/3/26,50y,50,4.314,,
2015/3/27,0d,0,2.4907,,
2015/3/27,1m,0.08,3.58,,
2015/3/27,2m,0.17,3.3172,,
2015/3/27,3m,0.25,3.2736,,
2015/3/27,6m,0.5,3.1685,,
2015/3/27,9m,0.75,3.1652,,
2015/3/27,1y,1,3.1833,,
2015/3/27,2y,2,3.215,,
2015/3/27,3y,3,3.2466,,
2015/3/27,4y,4,3.3244,,
2015/3/27,5y,5,3.4271,,
2015/3/27,6y,6,3.464,,
2015/3/27,7y,7,3.4838,,
2015/3/27,8y,8,3.5145,,
2015/3/27,9y,9,3.5407,,
2015/3/27,10y,10,3.5678,,
2015/3/27,15y,15,3.8051,,
2015/3/27,20y,20,4.0384,,
2015/3/27,30y,30,4.211,,
2015/3/27,40y,40,4.2972,,
2015/3/27,50y,50,4.3511,,
2015/3/30,0d,0,2.4877,,
2015/3/30,1m,0.08,3.547,,
2015/3/30,2m,0.17,3.3175,,
2015/3/30,3m,0.25,3.2936,,
2015/3/30,6m,0.5,3.1656,,
2015/3/30,9m,0.75,3.1501,,
2015/3/30,1y,1,3.1833,,
2015/3/30,2y,2,3.23,,
2015/3/30,3y,3,3.2766,,
2015/3/30,4y,4,3.3556,,
2015/3/30,5y,5,3.4526,,
2015/3/30,6y,6,3.4988,,
2015/3/30,7y,7,3.532,,
2015/3/30,8y,8,3.5586,,
2015/3/30,9y,9,3.57,,
2015/3/30,10y,10,3.5849,,
2015/3/30,15y,15,3.8222,,
2015/3/30,20y,20,4.0555,,
2015/3/30,30y,30,4.2281,,
2015/3/30,40y,40,4.3143,,
2015/3/30,50y,50,4.3682,,
2015/3/31,0d,0,2.4677,,
2015/3/31,1m,0.08,3.5895,,
2015/3/31,2m,0.17,3.3345,,
2015/3/31,3m,0.25,3.2673,,
2015/3/31,6m,0.5,3.1724,,
2015/3/31,9m,0.75,3.1701,,
2015/3/31,1y,1,3.2236,,
2015/3/31,2y,2,3.2651,,
2015/3/31,3y,3,3.3066,,
2015/3/31,4y,4,3.3765,,
2015/3/31,5y,5,3.4625,,
2015/3/31,6y,6,3.5452,,
2015/3/31,7y,7,3.6047,,
2015/3/31,8y,8,3.6306,,
2015/3/31,9y,9,3.6392,,
2015/3/31,10y,10,3.6483,,
2015/3/31,15y,15,3.8856,,
2015/3/31,20y,20,4.1189,,
2015/3/31,30y,30,4.2281,,
2015/3/31,40y,40,4.3143,,
2015/3/31,50y,50,4.3682,,
2015/4/1,0d,0,2.3717,,
2015/4/1,1m,0.08,3.4495,,
2015/4/1,2m,0.17,3.3441,,
2015/4/1,3m,0.25,3.2267,,
2015/4/1,6m,0.5,3.1127,,
2015/4/1,9m,0.75,3.1608,,
2015/4/1,1y,1,3.2186,,
2015/4/1,2y,2,3.2552,,
2015/4/1,3y,3,3.2917,,
2015/4/1,4y,4,3.3627,,
2015/4/1,5y,5,3.4525,,
2015/4/1,6y,6,3.5044,,
2015/4/1,7y,7,3.5475,,
2015/4/1,8y,8,3.5757,,
2015/4/1,9y,9,3.5857,,
2015/4/1,10y,10,3.5997,,
2015/4/1,15y,15,3.837,,
2015/4/1,20y,20,4.0703,,
2015/4/1,30y,30,4.1795,,
2015/4/1,40y,40,4.2657,,
2015/4/1,50y,50,4.3196,,
2015/4/2,0d,0,2.2797,,
2015/4/2,1m,0.08,3.3254,,
2015/4/2,2m,0.17,3.2212,,
2015/4/2,3m,0.25,3.137,,
2015/4/2,6m,0.5,3.1021,,
2015/4/2,9m,0.75,3.1209,,
2015/4/2,1y,1,3.1743,,
2015/4/2,2y,2,3.2176,,
2015/4/2,3y,3,3.2609,,
2015/4/2,4y,4,3.3297,,
2015/4/2,5y,5,3.4113,,
2015/4/2,6y,6,3.4618,,
2015/4/2,7y,7,3.502,,
2015/4/2,8y,8,3.5257,,
2015/4/2,9y,9,3.5333,,
2015/4/2,10y,10,3.5438,,
2015/4/2,15y,15,3.782,,
2015/4/2,20y,20,4.0153,,
2015/4/2,30y,30,4.1245,,
2015/4/2,40y,40,4.2107,,
2015/4/2,50y,50,4.2646,,
2015/4/3,0d,0,2.1717,,
2015/4/3,1m,0.08,3.296,,
2015/4/3,2m,0.17,3.161,,
2015/4/3,3m,0.25,3.137,,
2015/4/3,6m,0.5,3.109,,
2015/4/3,9m,0.75,3.1188,,
2015/4/3,1y,1,3.1753,,
2015/4/3,2y,2,3.2181,,
2015/4/3,3y,3,3.261,,
2015/4/3,4y,4,3.3246,,
2015/4/3,5y,5,3.4013,,
2015/4/3,6y,6,3.496,,
2015/4/3,7y,7,3.556,,
2015/4/3,8y,8,3.5655,,
2015/4/3,9y,9,3.5692,,
2015/4/3,10y,10,3.572,,
2015/4/3,15y,15,3.8102,,
2015/4/3,20y,20,4.0435,,
2015/4/3,30y,30,4.1527,,
2015/4/3,40y,40,4.2389,,
2015/4/3,50y,50,4.2928,,
2015/4/7,0d,0,2.0507,,
2015/4/7,1m,0.08,3.2276,,
2015/4/7,2m,0.17,3.1356,,
2015/4/7,3m,0.25,3.153,,
2015/4/7,6m,0.5,3.1202,,
2015/4/7,9m,0.75,3.1247,,
2015/4/7,1y,1,3.1801,,
2015/4/7,2y,2,3.2282,,
2015/4/7,3y,3,3.2764,,
2015/4/7,4y,4,3.3578,,
2015/4/7,5y,5,3.4549,,
2015/4/7,6y,6,3.5148,,
2015/4/7,7y,7,3.5579,,
2015/4/7,8y,8,3.5816,,
2015/4/7,9y,9,3.5891,,
2015/4/7,10y,10,3.5987,,
2015/4/7,15y,15,3.8369,,
2015/4/7,20y,20,4.0702,,
2015/4/7,30y,30,4.1794,,
2015/4/7,40y,40,4.2656,,
2015/4/7,50y,50,4.3195,,
2015/4/8,0d,0,2.0177,,
2015/4/8,1m,0.08,3.2404,,
2015/4/8,2m,0.17,3.1109,,
2015/4/8,3m,0.25,3.119,,
2015/4/8,6m,0.5,3.0927,,
2015/4/8,9m,0.75,3.1223,,
2015/4/8,1y,1,3.1802,,
2015/4/8,2y,2,3.2411,,
2015/4/8,3y,3,3.302,,
2015/4/8,4y,4,3.3829,,
2015/4/8,5y,5,3.4749,,
2015/4/8,6y,6,3.5719,,
2015/4/8,7y,7,3.6486,,
2015/4/8,8y,8,3.675,,
2015/4/8,9y,9,3.6843,,
2015/4/8,10y,10,3.6938,,
2015/4/8,15y,15,3.9319,,
2015/4/8,20y,20,4.1652,,
2015/4/8,30y,30,4.2744,,
2015/4/8,40y,40,4.3606,,
2015/4/8,50y,50,4.4145,,
2015/4/9,0d,0,1.9337,,
2015/4/9,1m,0.08,3.1205,,
2015/4/9,2m,0.17,3.0608,,
2015/4/9,3m,0.25,3.019,,
2015/4/9,6m,0.5,3.0327,,
2015/4/9,9m,0.75,3.0583,,
2015/4/9,1y,1,3.1202,,
2015/4/9,2y,2,3.1991,,
2015/4/9,3y,3,3.2779,,
2015/4/9,4y,4,3.3692,,
2015/4/9,5y,5,3.4671,,
2015/4/9,6y,6,3.5729,,
2015/4/9,7y,7,3.6547,,
2015/4/9,8y,8,3.6837,,
2015/4/9,9y,9,3.6938,,
2015/4/9,10y,10,3.704,,
2015/4/9,15y,15,3.9421,,
2015/4/9,20y,20,4.1783,,
2015/4/9,30y,30,4.2938,,
2015/4/9,40y,40,4.38,,
2015/4/9,50y,50,4.4339,,
2015/4/10,0d,0,1.8237,,
2015/4/10,1m,0.08,3.089,,
2015/4/10,2m,0.17,3.0609,,
2015/4/10,3m,0.25,3.039,,
2015/4/10,6m,0.5,3.0327,,
2015/4/10,9m,0.75,3.094,,
2015/4/10,1y,1,3.1602,,
2015/4/10,2y,2,3.2085,,
2015/4/10,3y,3,3.2571,,
2015/4/10,4y,4,3.3518,,
2015/4/10,5y,5,3.4695,,
2015/4/10,6y,6,3.5637,,
2015/4/10,7y,7,3.6389,,
2015/4/10,8y,8,3.6715,,
2015/4/10,9y,9,3.6823,,
2015/4/10,10y,10,3.6947,,
2015/4/10,15y,15,3.9328,,
2015/4/10,20y,20,4.1749,,
2015/4/10,30y,30,4.2938,,
2015/4/10,40y,40,4.38,,
2015/4/10,50y,50,4.4339,,
2015/4/13,0d,0,1.7397,,
2015/4/13,1m,0.08,3.0291,,
2015/4/13,2m,0.17,2.961,,
2015/4/13,3m,0.25,3.0072,,
2015/4/13,6m,0.5,3.0773,,
2015/4/13,9m,0.75,3.0802,,
2015/4/13,1y,1,3.1602,,
2015/4/13,2y,2,3.219,,
2015/4/13,3y,3,3.2779,,
2015/4/13,4y,4,3.3661,,
2015/4/13,5y,5,3.467,,
2015/4/13,6y,6,3.5307,,
2015/4/13,7y,7,3.5864,,
2015/4/13,8y,8,3.6248,,
2015/4/13,9y,9,3.6442,,
2015/4/13,10y,10,3.6685,,
2015/4/13,15y,15,3.9325,,
2015/4/13,20y,20,4.1749,,
2015/4/13,30y,30,4.2938,,
2015/4/13,40y,40,4.38,,
2015/4/13,50y,50,4.4339,,
2015/4/14,0d,0,1.7067,,
2015/4/14,1m,0.08,3.0291,,
2015/4/14,2m,0.17,3.0043,,
2015/4/14,3m,0.25,3.0327,,
2015/4/14,6m,0.5,3.0721,,
2015/4/14,9m,0.75,3.0899,,
2015/4/14,1y,1,3.1302,,
2015/4/14,2y,2,3.166,,
2015/4/14,3y,3,3.2023,,
2015/4/14,4y,4,3.3206,,
2015/4/14,5y,5,3.4744,,
2015/4/14,6y,6,3.5281,,
2015/4/14,7y,7,3.5624,,
2015/4/14,8y,8,3.5936,,
2015/4/14,9y,9,3.6049,,
