,display_name,date,weight,market_cap
600997.XSHG,开滦股份,2011-01-04,0.23,258.5336
601088.XSHG,中国神华,2011-01-04,1.47,5008.2065
601117.XSHG,中国化学,2011-01-04,0.15,285.1274
601139.XSHG,深圳燃气,2011-01-04,0.06,156.21
601169.XSHG,北京银行,2011-01-04,0.9,724.2654
601179.XSHG,中国西电,2011-01-04,0.19,354.6598
601268.XSHG,二重重装,2011-01-04,0.08,217.334
601333.XSHG,广深铁路,2011-01-04,0.17,247.2154
601369.XSHG,陕鼓动力,2011-01-04,0.09,260.0182
601398.XSHG,工商银行,2011-01-04,1.15,14798.3867
601699.XSHG,潞安环能,2011-01-04,0.52,733.3555
601939.XSHG,建设银行,2011-01-04,0.79,11650.5117
